PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=5.47 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=27.8 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=37.6 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=28.4 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=26.2 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=34.7 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=28.1 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=28.2 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=37.4 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=33.0 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=37.0 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=29.6 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=27.0 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=24.0 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=34.6 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=26.9 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=27.3 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=34.7 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=28.0 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=32.5 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=35.6 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=34.7 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=26.0 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=34.6 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=32.4 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=31.8 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=30.0 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=37.6 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=34.6 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=41.1 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=29.7 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=29.0 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=34.1 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=35.5 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=25.7 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=37.2 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=31.2 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=35.1 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=25.9 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=32.1 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=36.2 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=38.4 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=39.8 ms
