PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=82 ttl=64 time=1.49 ms
64 bytes from 10.0.0.3: icmp_seq=83 ttl=64 time=0.389 ms
64 bytes from 10.0.0.3: icmp_seq=84 ttl=64 time=0.180 ms
64 bytes from 10.0.0.3: icmp_seq=85 ttl=64 time=0.161 ms
64 bytes from 10.0.0.3: icmp_seq=86 ttl=64 time=0.803 ms
64 bytes from 10.0.0.3: icmp_seq=87 ttl=64 time=0.685 ms
64 bytes from 10.0.0.3: icmp_seq=88 ttl=64 time=0.169 ms
64 bytes from 10.0.0.3: icmp_seq=89 ttl=64 time=1.34 ms
64 bytes from 10.0.0.3: icmp_seq=90 ttl=64 time=1.50 ms
64 bytes from 10.0.0.3: icmp_seq=91 ttl=64 time=1.29 ms
64 bytes from 10.0.0.3: icmp_seq=92 ttl=64 time=1.30 ms
64 bytes from 10.0.0.3: icmp_seq=93 ttl=64 time=0.123 ms
64 bytes from 10.0.0.3: icmp_seq=94 ttl=64 time=2.71 ms
64 bytes from 10.0.0.3: icmp_seq=95 ttl=64 time=0.994 ms
64 bytes from 10.0.0.3: icmp_seq=96 ttl=64 time=0.699 ms
64 bytes from 10.0.0.3: icmp_seq=97 ttl=64 time=2.05 ms
64 bytes from 10.0.0.3: icmp_seq=98 ttl=64 time=0.178 ms
64 bytes from 10.0.0.3: icmp_seq=99 ttl=64 time=0.275 ms
64 bytes from 10.0.0.3: icmp_seq=100 ttl=64 time=1.62 ms
64 bytes from 10.0.0.3: icmp_seq=101 ttl=64 time=0.220 ms
64 bytes from 10.0.0.3: icmp_seq=102 ttl=64 time=1.41 ms
64 bytes from 10.0.0.3: icmp_seq=103 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=104 ttl=64 time=0.141 ms
64 bytes from 10.0.0.3: icmp_seq=105 ttl=64 time=1.64 ms
64 bytes from 10.0.0.3: icmp_seq=106 ttl=64 time=0.482 ms
64 bytes from 10.0.0.3: icmp_seq=107 ttl=64 time=0.186 ms
64 bytes from 10.0.0.3: icmp_seq=108 ttl=64 time=0.150 ms
64 bytes from 10.0.0.3: icmp_seq=109 ttl=64 time=0.930 ms
64 bytes from 10.0.0.3: icmp_seq=110 ttl=64 time=0.201 ms
64 bytes from 10.0.0.3: icmp_seq=111 ttl=64 time=0.164 ms
64 bytes from 10.0.0.3: icmp_seq=112 ttl=64 time=0.345 ms
64 bytes from 10.0.0.3: icmp_seq=113 ttl=64 time=1.24 ms
64 bytes from 10.0.0.3: icmp_seq=114 ttl=64 time=1.44 ms
64 bytes from 10.0.0.3: icmp_seq=115 ttl=64 time=0.647 ms
64 bytes from 10.0.0.3: icmp_seq=116 ttl=64 time=0.914 ms
64 bytes from 10.0.0.3: icmp_seq=117 ttl=64 time=1.38 ms
64 bytes from 10.0.0.3: icmp_seq=118 ttl=64 time=0.999 ms
64 bytes from 10.0.0.3: icmp_seq=119 ttl=64 time=1.29 ms
64 bytes from 10.0.0.3: icmp_seq=120 ttl=64 time=1.34 ms
