PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=2.61 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=24.9 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=29.7 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=26.8 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=35.6 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=33.4 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=27.7 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=33.5 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=31.9 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=35.9 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=32.5 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=34.4 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=34.6 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=41.5 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=30.0 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=34.4 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=30.9 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=37.0 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=38.7 ms
