PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=147 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=148 ttl=64 time=1.00 ms
64 bytes from 10.0.0.3: icmp_seq=149 ttl=64 time=0.765 ms
64 bytes from 10.0.0.3: icmp_seq=150 ttl=64 time=0.521 ms
64 bytes from 10.0.0.3: icmp_seq=151 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=152 ttl=64 time=0.945 ms
64 bytes from 10.0.0.3: icmp_seq=153 ttl=64 time=2.08 ms
64 bytes from 10.0.0.3: icmp_seq=154 ttl=64 time=2.40 ms
64 bytes from 10.0.0.3: icmp_seq=155 ttl=64 time=2.38 ms
64 bytes from 10.0.0.3: icmp_seq=156 ttl=64 time=2.63 ms
64 bytes from 10.0.0.3: icmp_seq=157 ttl=64 time=4.35 ms
64 bytes from 10.0.0.3: icmp_seq=158 ttl=64 time=2.29 ms
64 bytes from 10.0.0.3: icmp_seq=159 ttl=64 time=1.10 ms
64 bytes from 10.0.0.3: icmp_seq=160 ttl=64 time=0.631 ms
64 bytes from 10.0.0.3: icmp_seq=161 ttl=64 time=0.125 ms
64 bytes from 10.0.0.3: icmp_seq=162 ttl=64 time=0.126 ms
64 bytes from 10.0.0.3: icmp_seq=163 ttl=64 time=1.74 ms
64 bytes from 10.0.0.3: icmp_seq=164 ttl=64 time=0.356 ms
64 bytes from 10.0.0.3: icmp_seq=165 ttl=64 time=0.628 ms
64 bytes from 10.0.0.3: icmp_seq=166 ttl=64 time=0.350 ms
64 bytes from 10.0.0.3: icmp_seq=167 ttl=64 time=0.878 ms
64 bytes from 10.0.0.3: icmp_seq=168 ttl=64 time=1.35 ms
64 bytes from 10.0.0.3: icmp_seq=169 ttl=64 time=1.29 ms
64 bytes from 10.0.0.3: icmp_seq=170 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=171 ttl=64 time=0.129 ms
64 bytes from 10.0.0.3: icmp_seq=172 ttl=64 time=0.223 ms
64 bytes from 10.0.0.3: icmp_seq=173 ttl=64 time=0.298 ms
64 bytes from 10.0.0.3: icmp_seq=174 ttl=64 time=0.134 ms
64 bytes from 10.0.0.3: icmp_seq=175 ttl=64 time=0.139 ms
64 bytes from 10.0.0.3: icmp_seq=176 ttl=64 time=0.780 ms
64 bytes from 10.0.0.3: icmp_seq=177 ttl=64 time=2.20 ms
64 bytes from 10.0.0.3: icmp_seq=178 ttl=64 time=2.15 ms
64 bytes from 10.0.0.3: icmp_seq=179 ttl=64 time=2.52 ms
64 bytes from 10.0.0.3: icmp_seq=180 ttl=64 time=1.92 ms
64 bytes from 10.0.0.3: icmp_seq=181 ttl=64 time=0.194 ms
64 bytes from 10.0.0.3: icmp_seq=182 ttl=64 time=0.781 ms
64 bytes from 10.0.0.3: icmp_seq=183 ttl=64 time=0.934 ms
64 bytes from 10.0.0.3: icmp_seq=184 ttl=64 time=0.231 ms
64 bytes from 10.0.0.3: icmp_seq=185 ttl=64 time=1.04 ms
64 bytes from 10.0.0.3: icmp_seq=186 ttl=64 time=1.40 ms
64 bytes from 10.0.0.3: icmp_seq=187 ttl=64 time=1.09 ms
64 bytes from 10.0.0.3: icmp_seq=188 ttl=64 time=3.83 ms
64 bytes from 10.0.0.3: icmp_seq=189 ttl=64 time=0.808 ms
64 bytes from 10.0.0.3: icmp_seq=190 ttl=64 time=0.657 ms
64 bytes from 10.0.0.3: icmp_seq=191 ttl=64 time=0.502 ms
64 bytes from 10.0.0.3: icmp_seq=192 ttl=64 time=0.149 ms
64 bytes from 10.0.0.3: icmp_seq=193 ttl=64 time=0.146 ms
64 bytes from 10.0.0.3: icmp_seq=194 ttl=64 time=1.01 ms
64 bytes from 10.0.0.3: icmp_seq=195 ttl=64 time=0.140 ms
64 bytes from 10.0.0.3: icmp_seq=196 ttl=64 time=0.146 ms
64 bytes from 10.0.0.3: icmp_seq=197 ttl=64 time=0.131 ms
64 bytes from 10.0.0.3: icmp_seq=198 ttl=64 time=0.709 ms
64 bytes from 10.0.0.3: icmp_seq=199 ttl=64 time=1.47 ms
64 bytes from 10.0.0.3: icmp_seq=200 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=201 ttl=64 time=1.36 ms
64 bytes from 10.0.0.3: icmp_seq=202 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=203 ttl=64 time=1.29 ms
64 bytes from 10.0.0.3: icmp_seq=204 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=205 ttl=64 time=1.36 ms
64 bytes from 10.0.0.3: icmp_seq=206 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=207 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=208 ttl=64 time=0.220 ms
64 bytes from 10.0.0.3: icmp_seq=209 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=210 ttl=64 time=0.615 ms
64 bytes from 10.0.0.3: icmp_seq=211 ttl=64 time=0.488 ms
64 bytes from 10.0.0.3: icmp_seq=212 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=213 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=214 ttl=64 time=1.30 ms
64 bytes from 10.0.0.3: icmp_seq=215 ttl=64 time=1.12 ms
64 bytes from 10.0.0.3: icmp_seq=216 ttl=64 time=1.01 ms
64 bytes from 10.0.0.3: icmp_seq=217 ttl=64 time=2.85 ms
64 bytes from 10.0.0.3: icmp_seq=218 ttl=64 time=1.52 ms
64 bytes from 10.0.0.3: icmp_seq=219 ttl=64 time=1.16 ms
64 bytes from 10.0.0.3: icmp_seq=220 ttl=64 time=1.81 ms
64 bytes from 10.0.0.3: icmp_seq=221 ttl=64 time=0.133 ms
64 bytes from 10.0.0.3: icmp_seq=222 ttl=64 time=1.17 ms
64 bytes from 10.0.0.3: icmp_seq=223 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=224 ttl=64 time=1.30 ms
64 bytes from 10.0.0.3: icmp_seq=225 ttl=64 time=1.29 ms
64 bytes from 10.0.0.3: icmp_seq=226 ttl=64 time=1.30 ms
64 bytes from 10.0.0.3: icmp_seq=227 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=228 ttl=64 time=0.300 ms
64 bytes from 10.0.0.3: icmp_seq=229 ttl=64 time=0.868 ms
64 bytes from 10.0.0.3: icmp_seq=230 ttl=64 time=1.09 ms
64 bytes from 10.0.0.3: icmp_seq=231 ttl=64 time=0.517 ms
