PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=28.4 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=34.9 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=28.1 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=27.5 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=29.6 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=27.3 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=25.8 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=29.4 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=29.4 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=35.7 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=33.8 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=24.9 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=26.9 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=26.8 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=31.2 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=30.9 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=29.7 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=24.3 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=24.2 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=33.3 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=32.4 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=28.6 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=30.0 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=27.2 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=27.1 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=29.0 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=27.5 ms
64 bytes from 10.0.0.2: icmp_seq=377 ttl=64 time=29.1 ms
