1614327551.689087,0
1614327551.795394,18
1614327551.906510,19
1614327552.018478,19
1614327552.130199,19
1614327552.242866,20
1614327552.355681,20
1614327552.466418,17
1614327552.575412,18
1614327552.691416,4
1614327552.803658,20
1614327552.924882,20
1614327553.032387,14
1614327553.143794,19
1614327553.263697,13
1614327553.375379,18
1614327553.488662,19
1614327553.600563,4
1614327553.711181,6
1614327553.824370,7
1614327553.936534,8
1614327554.050204,6
1614327554.166255,6
1614327554.277341,8
1614327554.388975,12
1614327554.499327,10
1614327554.611901,9
1614327554.727312,11
1614327554.839452,9
1614327554.951504,6
1614327555.064663,4
1614327555.177692,5
1614327555.289158,4
1614327555.400734,4
1614327555.513131,5
1614327555.626578,6
1614327555.740659,8
1614327555.854758,8
1614327555.968177,5
1614327556.080025,3
1614327556.191453,3
1614327556.304916,8
1614327556.418028,3
1614327556.529986,3
1614327556.641608,8
1614327556.754980,6
1614327556.867892,10
1614327556.980606,11
1614327557.093852,14
1614327557.207893,14
1614327557.320424,12
1614327557.434342,4
1614327557.546809,6
1614327557.660517,9
1614327557.775213,7
1614327557.887950,7
1614327558.000007,8
1614327558.111708,5
1614327558.225790,7
1614327558.338678,10
1614327558.452721,8
1614327558.565684,6
1614327558.678666,9
1614327558.792488,13
1614327558.902670,14
1614327559.014743,20
1614327559.126827,2
1614327559.239979,6
1614327559.353544,10
1614327559.464784,20
1614327559.576418,19
1614327559.689707,15
1614327559.799564,7
1614327559.911193,9
1614327560.026254,2
1614327560.138535,16
1614327560.250206,5
1614327560.363960,2
1614327560.478969,8
1614327560.594200,5
1614327560.706167,4
1614327560.818094,7
1614327560.930897,6
1614327561.045688,3
1614327561.159857,6
1614327561.273502,4
1614327561.388600,7
1614327561.501528,7
1614327561.615457,5
1614327561.728023,5
1614327561.839924,7
1614327561.952181,6
1614327562.066083,6
1614327562.177472,7
1614327562.289348,3
1614327562.401555,2
1614327562.515549,7
1614327562.629821,3
1614327562.740982,6
1614327562.855044,7
1614327562.966822,11
1614327563.079602,5
1614327563.192044,8
1614327563.306131,3
1614327563.419525,7
1614327563.532393,10
1614327563.646281,6
1614327563.758670,7
1614327563.873921,6
1614327563.986358,9
1614327564.100431,5
1614327564.211985,8
1614327564.326920,7
1614327564.439513,8
1614327564.552642,5
1614327564.666991,7
1614327564.779319,8
1614327564.892304,5
1614327565.005691,7
1614327565.117838,10
1614327565.229932,6
1614327565.342697,10
1614327565.454832,12
1614327565.567056,15
1614327565.678768,15
1614327565.791900,13
1614327565.914927,3
1614327566.022054,19
1614327566.129673,12
1614327566.237160,13
1614327566.344214,19
1614327566.459696,5
1614327566.570783,6
1614327566.687151,14
1614327566.800703,11
1614327566.913869,2
1614327567.025996,3
1614327567.138058,7
1614327567.251020,6
1614327567.362086,8
1614327567.473837,10
1614327567.588000,11
1614327567.706894,14
1614327567.819069,9
1614327567.932753,6
1614327568.046168,1
1614327568.158540,4
1614327568.273295,4
1614327568.385097,4
1614327568.496613,9
1614327568.608508,12
1614327568.720858,7
1614327568.831782,9
1614327568.943794,11
1614327569.055328,3
1614327569.170315,8
1614327569.281721,9
1614327569.393162,7
1614327569.506510,5
1614327569.619317,6
1614327569.730379,8
1614327569.842280,5
1614327569.955776,9
1614327570.068878,4
1614327570.179749,6
1614327570.292304,5
1614327570.406483,4
1614327570.520207,2
1614327570.632418,8
1614327570.746978,6
1614327570.877755,4
1614327570.989575,5
