PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=2.56 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.793 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.290 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.387 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.406 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.365 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.473 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.370 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.352 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1.22 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.455 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=30.9 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=37.7 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=34.8 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=27.5 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=33.1 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=32.9 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=29.4 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=25.9 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=35.0 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=34.7 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=31.1 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=37.1 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=31.7 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=35.3 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=30.9 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=35.5 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=31.7 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=23.8 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=42.7 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=39.4 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=35.1 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=37.6 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=24.2 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=35.0 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=36.2 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=28.6 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=34.1 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=34.1 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=36.0 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=24.8 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=33.1 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=35.7 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=33.0 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=35.8 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=37.6 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=33.7 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=26.6 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=33.6 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=28.2 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=27.3 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=38.2 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=26.9 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=34.6 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=28.1 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=36.7 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=30.9 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=25.8 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=37.6 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=36.1 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=36.1 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=34.1 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=28.2 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=33.2 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=32.1 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=23.6 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=37.5 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=30.8 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=37.0 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=35.5 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=30.9 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=37.3 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=32.4 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=34.6 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=34.6 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=28.1 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=32.9 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=34.7 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=26.3 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=26.0 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=27.2 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=30.8 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=23.1 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=36.8 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=35.1 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=35.7 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=33.8 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=33.1 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=28.1 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=36.7 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=29.8 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=35.3 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=33.2 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=36.8 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=31.8 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=37.1 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=25.8 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=37.2 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=27.0 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=32.1 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=26.9 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=34.3 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=33.2 ms
